,dependent1,dependent2
2017-03-01,-0.007514,-0.005921
2017-04-01,-0.028048999999999998,-0.022897
2017-05-01,-0.026417,-0.016881
2017-06-01,0.040204,0.041967
2017-07-01,0.023545000000000003,0.033307
2017-08-01,0.026538000000000003,0.023599000000000002
2017-09-01,0.004208,0.005141
2017-10-01,0.012996999999999998,0.015359000000000001
2017-11-01,-0.031748,-0.023773
2017-12-01,-0.002796,0.0005140000000000001
2018-01-01,0.033392,0.043774
2018-02-01,-0.057866999999999995,-0.060285000000000005
2018-03-01,-0.019229,-0.023777
2018-04-01,-0.035351,-0.034048999999999996
2018-05-01,0.0033699999999999997,0.0030360000000000005
2018-06-01,-0.083793,-0.07921800000000001
2018-07-01,0.007365000000000001,0.013679
2018-08-01,-0.062664,-0.056215
2018-09-01,0.022868000000000003,0.027515
2018-10-01,-0.088419,-0.087096
2018-11-01,0.0040809999999999996,0.0036499999999999996
2018-12-01,-0.042921,-0.043183
2019-01-01,0.029475000000000005,0.035442
2019-02-01,0.15774700000000003,0.147467
2019-03-01,0.06488699999999999,0.060726999999999996
2019-04-01,-0.013603,-0.006683
2019-05-01,-0.06114699999999999,-0.061514
2019-06-01,0.030578,0.033829
2019-07-01,-0.003974999999999999,-0.004657
2019-08-01,-0.011465,-0.012931999999999999
2019-09-01,0.005071,0.004143000000000001
2019-10-01,0.008923,0.010748
2019-11-01,-0.018734,-0.016922999999999997
2019-12-01,0.06666299999999999,0.065271
