,E1/P,E2/P
2009-02-01,-2.1692726292686118,-2.420970912451672
2009-03-01,-2.320576172019056,-2.5669932272354785
2009-04-01,-2.480722528781069,-2.715910639457647
2009-05-01,-2.6746729074183975,-2.895794391155931
2009-06-01,-2.933284195718489,-3.1362680089948256
2009-07-01,-3.1157534369980446,-3.3206935888796316
2009-08-01,-2.909533475266759,-3.116536679015052
2009-09-01,-2.9881334355361204,-3.1973153854036376
2009-10-01,-3.0751508990445906,-3.285013278185996
2009-11-01,-3.1645222937748017,-3.3750685813103125
2009-12-01,-3.2014871687171116,-3.412720870680289
2010-01-01,-3.090323432105233,-3.302948988364662
2010-02-01,-3.101629748374112,-3.3155598218167235
2010-03-01,-3.10092006249576,-3.3160752873973536
2010-04-01,-2.9175638600886273,-3.1453031026693843
2010-05-01,-2.7329218463402647,-2.971035653595454
2010-06-01,-2.568985377643102,-2.81579966468826
2010-07-01,-2.666311298191932,-2.911172026906474
2010-08-01,-2.6610110554730397,-2.9040752687906597
2010-09-01,-2.6501798795074265,-2.891586412923264
2010-10-01,-2.742571966652065,-2.9836829168877372
2010-11-01,-2.68852813895208,-2.929360112469478
2010-12-01,-2.6653890629894335,-2.9059573050020155
2011-01-01,-2.6037867854771406,-2.843779620151146
2011-02-01,-2.622385221368031,-2.8618479671508545
2011-03-01,-2.577753674275531,-2.8167264985453677
2011-04-01,-2.5430502536290334,-2.7813928430994608
2011-05-01,-2.4492317336240745,-2.686984493269243
2011-06-01,-2.4402296173398383,-2.6774291871226836
2011-07-01,-2.406210321970118,-2.6448617708947175
2011-08-01,-2.342543680601622,-2.582571559279902
2011-09-01,-2.2240717078127723,-2.4654063004045312
2011-10-01,-2.244326741711191,-2.486873705784994
2011-11-01,-2.168817265245014,-2.4125180836769147
2011-12-01,-2.0729587770623716,-2.317759070248389
2012-01-01,-2.099927523923487,-2.3447184973364728
2012-02-01,-2.173283401354688,-2.4180651174480623
2012-03-01,-2.1084513911049996,-2.353223911706518
2012-04-01,-2.168514309304502,-2.414646142089481
2012-05-01,-2.1728641998096236,-2.4203606331275473
2012-06-01,-2.115063356171074,-2.3639297105707264
2012-07-01,-2.0535976251007,-2.302728562313618
2012-08-01,-2.02859570991043,-2.2779896802107977
2012-09-01,-2.046824006719948,-2.296479473966887
2012-10-01,-2.0400177760040314,-2.289503589333812
2012-11-01,-1.9786652699098504,-2.2279815498463975
2012-12-01,-2.122358468387727,-2.3715053353241515
2013-01-01,-2.177437951850159,-2.427421382867198
2013-02-01,-2.181034922987621,-2.431856559481961
2013-03-01,-2.128275198725021,-2.379936687224216
2013-04-01,-2.0986222544519677,-2.351574060886243
2013-05-01,-2.166759517698406,-2.4209830058267876
2013-06-01,-1.9941991458226944,-2.2496760812644965
2013-07-01,-2.007736802525372,-2.2631518841816707
2013-08-01,-2.0552590838330893,-2.3106134788348918
2013-09-01,-2.086926351732611,-2.3422211944853437
2013-10-01,-2.056999052602631,-2.3129615793015574
2013-11-01,-2.086862536828484,-2.343477246154805
2013-12-01,-2.0435011868996398,-2.300753111304708
2014-01-01,-2.008437765976776,-2.2650490343178937
2014-02-01,-2.009807324142322,-2.2657981919368595
2014-03-01,-1.9743797302262998,-2.22976950720426
2014-04-01,-1.9611365518262076,-2.215501676839647
2014-05-01,-1.960032282200185,-2.213391258020902
2014-06-01,-1.9629014081432672,-2.2152722403578764
2014-07-01,-2.034019078237243,-2.286521360298096
2014-08-01,-2.049456064925419,-2.3020878861968868
2014-09-01,-2.1313522861023806,-2.3841117773062415
2014-10-01,-2.1299336980161705,-2.3828292732507173
2014-11-01,-2.2149315507522473,-2.467960352376142
2014-12-01,-2.362197939002751,-2.6153571984523616
2015-01-01,-2.375381260516061,-2.62850879678318
2015-02-01,-2.4080469455221625,-2.6611432419631704
2015-03-01,-2.561144834579178,-2.8142103635868416
2015-04-01,-2.7259258881848893,-2.981128816836211
2015-05-01,-2.81329268954239,-3.070638412703129
2015-06-01,-2.7329529965390655,-2.9924469344640983
2015-07-01,-2.531510769314167,-2.791837283542744
2015-08-01,-2.36966284725953,-2.6308149693440335
2015-09-01,-2.308439918929409,-2.5704107678216523
2015-10-01,-2.4419311187536614,-2.7033368345528466
2015-11-01,-2.4946444338087232,-2.7555036379924402
2015-12-01,-2.5628678332571297,-2.823198241759613
2016-01-01,-2.2777232928902826,-2.5392944471821757
2016-02-01,-2.266352799031136,-2.5291841063843954
2016-03-01,-2.409278468932026,-2.6733897965739857
2016-04-01,-2.3962086214042593,-2.661291523033345
2016-05-01,-2.399693706590213,-2.6657504880319394
2016-06-01,-2.4323368243610304,-2.6993698001227315
2016-07-01,-2.45417382034449,-2.7204517516819173
2016-08-01,-2.5038277947899275,-2.769352166678768
2016-09-01,-2.4928263690006247,-2.757598661826698
2016-10-01,-2.5394734968823514,-2.8018903794625523
2016-11-01,-2.5998192093592607,-2.859855988260666
2016-12-01,-2.5674929098004675,-2.8251244943769542
2017-01-01,-2.5716173154279076,-2.8269161703772347
2017-02-01,-2.5912368187424093,-2.8442826162287176
2017-03-01,-2.5800412009077114,-2.8309095945003513
2017-04-01,-2.537393747162149,-2.784848556753616
2017-05-01,-2.4906599978729638,-2.7348352060702403
2017-06-01,-2.509356121003986,-2.7503779574017244
2017-07-01,-2.50779001674427,-2.746720845344086
2017-08-01,-2.524087347579762,-2.761001170502823
2017-09-01,-2.5345328837376613,-2.7694998390436503
2017-10-01,-2.5370717705256283,-2.771134301791701
2017-11-01,-2.504391528633519,-2.7375742612771248
2017-12-01,-2.498104709312816,-2.7304312761910197
2018-01-01,-2.517419942891106,-2.747471895633936
2018-02-01,-2.4483708556632813,-2.676232021820436
2018-03-01,-2.411237162399562,-2.636986814375554
2018-04-01,-2.370388339047409,-2.595706882774902
2018-05-01,-2.3688142076322265,-2.5937113634615905
2018-06-01,-2.279168472651861,-2.5036536358099326
2018-07-01,-2.2707513236266585,-2.495045550665864
2018-08-01,-2.211077872397908,-2.4351859924467334
2018-09-01,-2.231825399986171,-2.455752061251463
2018-10-01,-2.1272910099245195,-2.3513694498570246
2018-11-01,-2.1370990185823437,-2.3613245905930462
2018-12-01,-2.084654134984742,-2.309022402646896
2019-01-01,-2.115798398050085,-2.3408388862016913
2019-02-01,-2.25874522471819,-2.484449693705745
2019-03-01,-2.3192730974254268,-2.5456334583110127
2019-04-01,-2.328963057894299,-2.5597601156391825
2019-05-01,-2.288773900938633,-2.524219708329916
2019-06-01,-2.3368208283655463,-2.5771430670904607
2019-07-01,-2.321262664522269,-2.5608578030462397
2019-08-01,-2.306212642367953,-2.5450966031285205
2019-09-01,-2.3046352453720473,-2.542823433279949
2019-10-01,-2.313369571490753,-2.5484632881075697
2019-11-01,-2.295457763135399,-2.527490133187154
2019-12-01,-2.3705670985436775,-2.599570703595372
