,M0G,M1G,M2G
2002-09-01,0.023112244964402118,0.016308623969312208,0.01404602860712556
2002-10-01,0.033156172017252405,0.00801367948755849,0.02155422897609993
2002-11-01,-0.013485626707109621,-0.025268315098825767,0.0017455695874248889
2002-12-01,0.0207141456640354,0.008803071299471998,0.013774340552127784
2003-01-01,0.05699362366858973,0.02918851185498239,0.029324689408803728
2003-02-01,0.22958057139616028,-0.020991200955687628,0.02993443976732335
2003-03-01,-0.15568849309922983,-0.0580845655254435,-0.0022915315826886884
2003-04-01,-0.046309980894421954,0.06070079418014174,0.023033646959647935
2003-05-01,0.01956215473650369,-0.02576086415727008,0.008446978285985951
2003-06-01,-0.01869774567488136,0.022068972398363695,0.017208268816219174
2003-07-01,-0.009239831890449524,0.022795973736214226,0.027078142678894856
