,E12,net_E12
2002-06-30,102494064682.35005,80859307212.73
2002-07-31,101175157893.40338,79237794283.46834
2002-08-31,99856251104.45671,77616281354.20668
2002-09-30,98537344315.51004,75994768424.94502
2002-10-31,103375663476.16338,79400643222.91002
2002-11-30,108213982636.81671,82806518020.87502
2002-12-31,113052301797.47005,86212392818.84001
2003-01-31,116709902667.16005,88444306830.16168
2003-02-28,120367503536.85005,90676220841.48335
2003-03-31,124025104406.54005,92908134852.80502
2003-04-30,125277643178.42339,92571693448.46667
2003-05-31,126530181950.30672,92235252044.12833
2003-06-30,127782720722.19005,91898810639.78998
2003-07-31,135991887986.70337,97866740340.00664
2003-08-31,144201055251.2167,103834670040.2233
2003-09-30,152410222515.73004,109802599740.43996
2003-10-31,154008772756.05002,110664914321.29663
2003-11-30,155607322996.37,111527228902.1533
2003-12-31,157205873236.68997,112389543483.00998
2004-01-31,162221751570.93332,116505357707.77664
2004-02-29,167237629905.17667,120621171932.5433
2004-03-31,172253508239.42,124736986157.30997
2004-04-30,175811316880.6667,128165535165.46664
2004-05-31,179369125521.91336,131594084173.62332
2004-06-30,182926934163.16003,135022633181.78
2004-07-31,190284724104.08002,140782905571.44
2004-08-31,197642514045.0,146543177961.1
2004-09-30,205000303985.91998,152303450350.76
2004-10-31,213726729422.92667,159088769294.30002
2004-11-30,222453154859.93335,165874088237.84003
2004-12-31,231179580296.94003,172659407181.38004
2005-01-31,238785598995.5434,178394941311.59003
2005-02-28,246391617694.14673,184130475441.80002
2005-03-31,253997636392.75006,189866009572.01
2005-04-30,253650319631.18005,187731788317.22668
2005-05-31,253303002869.61005,185597567062.44336
2005-06-30,252955686108.04004,183463345807.66003
2005-07-31,255660546294.49008,184819768819.11005
2005-08-31,258365406480.9401,186176191830.56006
2005-09-30,261070266667.3901,187532614842.01007
2005-10-31,263006859980.8401,187727689986.40338
2005-11-30,264943453294.2901,187922765130.7967
2005-12-31,266880046607.7401,188117840275.19
2006-01-31,263546926832.19675,184685301564.09335
2006-02-28,260213807056.6534,181252762852.9967
2006-03-31,256880687281.11008,177820224141.90005
2006-04-30,255126034123.61008,176276405701.53006
2006-05-31,253371380966.11008,174732587261.16006
2006-06-30,251616727808.61008,173188768820.79007
2006-07-31,247928134036.41006,170253196478.02005
2006-08-31,244239540264.21005,167317624135.25003
2006-09-30,240550946492.01004,164382051792.48
2006-10-31,245737012604.19006,168478126825.79
2006-11-30,250923078716.3701,172574201859.1
2006-12-31,256109144828.55008,176670276892.41
2007-01-31,289228579456.5734,200226282955.84665
2007-02-28,322348014084.5968,223782289019.2833
2007-03-31,355467448712.6202,247338295082.71994
2007-04-30,411567345632.1168,290812570663.53326
2007-05-31,467667242551.6135,334286846244.3466
2007-06-30,523767139471.1102,377761121825.16
2007-07-31,568791650121.5869,410101286111.3933
2007-08-31,613816160772.0636,442441450397.62665
2007-09-30,658840671422.5403,474781614683.86
2007-10-31,718813553786.4436,519227149097.6566
2007-11-30,778786436150.3469,563672683511.4532
2007-12-31,838759318514.2502,608118217925.2499
2008-01-31,900109206633.2903,653454018319.2332
2008-02-29,961459094752.3303,698789818713.2164
2008-03-31,1022808982871.3704,744125619107.1997
2008-04-30,1129368809835.9038,827982152600.5264
2008-05-31,1235928636800.4373,911838686093.853
2008-06-30,1342488463764.9707,995695219587.1797
2008-07-31,1394839494475.5242,1042141859863.7563
2008-08-31,1447190525186.0776,1088588500140.333
2008-09-30,1499541555896.631,1135035140416.9097
2008-10-31,1534482876328.1345,1168188092815.8828
2008-11-30,1569424196759.638,1201341045214.856
2008-12-31,1604365517191.1414,1234493997613.829
2009-01-31,1590475824883.928,1230128525405.7124
2009-02-28,1576586132576.7146,1225763053197.5957
2009-03-31,1562696440269.5012,1221397580989.479
2009-04-30,1397232943580.9678,1104403865636.4458
2009-05-31,1231769446892.4343,987410150283.4125
2009-06-30,1066305950203.901,870416434930.3792
2009-07-31,1039745185177.621,847076319263.4991
2009-08-31,1013184420151.341,823736203596.6191
2009-09-30,986623655125.0609,800396087929.7391
2009-10-31,984449045592.1809,798088713414.029
2009-11-30,982274436059.301,795781338898.319
2009-12-31,980099826526.4211,793473964382.6089
2010-01-31,1013613941969.1011,819465114112.4623
2010-02-28,1047128057411.7812,845456263842.3157
2010-03-31,1080642172854.4614,871447413572.1691
2010-04-30,1203281603574.6614,958211504204.7291
2010-05-31,1325921034294.8616,1044975594837.2892
2010-06-30,1448560465015.0618,1131739685469.849
2010-07-31,1510398275605.6416,1182360242233.749
2010-08-31,1572236086196.2214,1232980798997.649
2010-09-30,1634073896786.8013,1283601355761.5488
2010-10-31,1682460458592.9978,1322000778679.6655
2010-11-30,1730847020399.1943,1360400201597.7822
2010-12-31,1779233582205.3909,1398799624515.899
2011-01-31,1854755224541.1675,1459012589346.209
2011-02-28,1930276866876.9443,1519225554176.519
2011-03-31,2005798509212.7212,1579438519006.829
2011-04-30,2073846372124.7012,1634051386721.2625
2011-05-31,2141894235036.6812,1688664254435.6958
2011-06-30,2209942097948.661,1743277122150.1292
2011-07-31,2272160830427.871,1789756966034.1726
2011-08-31,2334379562907.081,1836236809918.216
2011-09-30,2396598295386.291,1882716653802.2595
2011-10-31,2458859924849.4175,1929287634068.9663
2011-11-30,2521121554312.544,1975858614335.673
2011-12-31,2583383183775.6704,2022429594602.38
2012-01-31,2592085351128.2773,2029261093030.5435
2012-02-29,2600787518480.8843,2036092591458.7065
2012-03-31,2609489685833.491,2042924089886.8696
2012-04-30,2606204624199.3647,2037580680722.0427
2012-05-31,2602919562565.2383,2032237271557.2158
2012-06-30,2599634500931.112,2026893862392.389
2012-07-31,2607637670282.3384,2032595945722.7854
2012-08-31,2615640839633.565,2038298029053.182
2012-09-30,2623644008984.7915,2044000112383.5784
2012-10-31,2624353987689.368,2044900130781.0916
2012-11-30,2625063966393.945,2045800149178.6047
2012-12-31,2625773945098.5215,2046700167576.118
2013-01-31,2624300712335.648,2043841313873.2043
2013-02-28,2622827479572.7744,2040982460170.2908
