year,month,ret1,ret2
2006,9,0.0017868103599999999,0.0020356817779999996
2006,10,0.0023670535320000005,0.002707258877
2006,11,0.0031089555109999997,0.003749353548
2006,12,0.008785743557,0.007048708008000001
2007,1,0.015273082458000001,0.017609788576
2007,2,0.015467680659,0.016023140148
2007,3,0.004210957416000001,0.004887356309000001
2007,4,0.008592884370999998,0.01151587545
2007,5,0.010174800793999999,0.013084083369000002
2007,6,0.020373306395,0.025102098683000004
2007,7,0.012986910278000002,0.015665214022000003
2007,8,0.009605191302999997,0.010464169803000002
2007,9,0.0065744933019999995,0.007479206208
2007,10,0.008446477386999999,0.006938492082000001
2007,11,0.013612163238999999,0.010890750578000001
2007,12,0.005394311244999999,0.005806096664
2008,1,0.017746668172,0.020036177384999996
2008,2,0.013195238345999998,0.013066540798999998
