,D/E1,D/E2
1999-09-01,-1.3511530939858645,-1.1335058972886678
1999-10-01,-1.3058739385048632,-1.088329229155466
1999-11-01,-1.339038168283512,-1.1215928972135316
1999-12-01,-1.3555110200092173,-1.1381622722241431
2000-01-01,-1.3803924120750857,-1.163137398907125
2000-02-01,-1.3929484757682395,-1.1757845276807828
2000-03-01,-1.401771898226837,-1.1846964581240123
2000-04-01,-1.3904397645265796,-1.1787116631608896
2000-05-01,-1.3596652728065841,-1.152942032578789
2000-06-01,-1.2904322789651808,-1.088403360110057
2000-07-01,-1.260069698283722,-1.0624526409811637
2000-08-01,-1.276273279304828,-1.0828104121120248
2000-09-01,-1.3185972514303153,-1.1290528689782917
2000-10-01,-1.384728508478073,-1.1914643914338434
2000-11-01,-1.4043117299765946,-1.2074986766176181
2000-12-01,-1.4203182577170956,-1.220115545683523
2001-01-01,-1.4441267161466342,-1.2406831175240214
2001-02-01,-1.468482294237429,-1.261936981070896
2001-03-01,-1.4832524639264086,-1.273735818080194
2001-04-01,-1.4476068972603713,-1.2390851258682183
2001-05-01,-1.239849292504136,-1.032294341978801
2001-06-01,-1.0397635637836444,-0.8331485510616154
2001-07-01,-0.9938420405562987,-0.788141188848499
2001-08-01,-1.0050481671724647,-0.8002367460650639
2001-09-01,-1.0093322950480648,-0.8053865646045288
2001-10-01,-1.0199494887574474,-0.8178619846400004
2001-11-01,-1.0267593046791035,-0.8264698579984042
2001-12-01,-1.040224586204701,-0.8416759066625303
2002-01-01,-1.0551859972374515,-0.8583234922179948
2002-02-01,-1.0693013913911003,-0.8740729990567502
2002-03-01,-1.085427518757207,-0.8917835538667056
2002-04-01,-1.0883965028649172,-0.8808022672575184
2002-05-01,-1.1258700673365638,-0.9038029333511801
2002-06-01,-1.0596604973317802,-0.8225663024061838
2002-07-01,-1.0046462810408663,-0.7602464152283872
2002-08-01,-0.816790924877477,-0.5648364784706814
2002-09-01,-0.7713864976786837,-0.5116153926487073
2002-10-01,-0.8264096333361621,-0.5625465311282873
2002-11-01,-0.8824761224439115,-0.6148723131873375
2002-12-01,-0.9309184714185506,-0.6598818475579655
2003-01-01,-0.962759303474165,-0.6854409645885475
2003-02-01,-0.9942453914017548,-0.7109909481409602
2003-03-01,-1.022185573169125,-0.7333127808422013
2003-04-01,-1.0067804281639035,-0.7042314171500266
2003-05-01,-1.0235882750645011,-0.7074498035628558
2003-06-01,-0.8448000698414724,-0.5151568300380553
2003-07-01,-0.9216226147729358,-0.5926341388373899
2003-08-01,-1.1279227095284803,-0.7995140897929431
2003-09-01,-1.1457955296082645,-0.8179040175787229
2003-10-01,-1.1527138024148869,-0.8222110813522754
2003-11-01,-1.1407993438781645,-0.8077324367699923
2003-12-01,-1.1478510982473686,-0.8122657610151265
2004-01-01,-1.1780876720436027,-0.8470606968129673
2004-02-01,-1.2067704304818925,-0.880009519793159
2004-03-01,-1.2279283299522739,-0.9051684629381995
