,D/E,D/P,D/Y,E/P,B/M,SVAR,INF,NTIS,TO,M0G,M1G,M2G
2006/4/1,0.004022372,0.02217916,0.022085385,0.030231402,0.020123277,0.001175081,0.016170893,-0.000763674,0.028553981,0.013456299,-0.014367055,0.003653223
2006/5/1,0.005726882,0.024001816,0.025978691,0.029983456,0.022050509,0.005450769,-0.012365701,-0.001031004,0.051995214,0.007284239,0.019664797,0.011338246
2006/6/1,0.008186944,0.026610326,0.029704567,0.029190977,0.022730278,0.026337044,0.010840673,-0.000882385,0.075829196,0.014654539,-0.002453896,0.01333865
2006/7/1,0.008585813,0.02614385,0.027140604,0.027861649,0.021882701,0.014679054,0.005689085,-0.000899902,0.056892309,0.011890834,0.009901351,0.006566523
2006/8/1,0.007013045,0.023213171,0.024785519,0.023491357,0.019053054,0.01094404,0.035632753,-0.002220175,0.03891212,0.01008524,0.021187363,0.017310307
2006/9/1,0.00755849,0.021938737,0.022883408,0.021623037,0.018001552,0.005951022,0.026482839,-0.002341196,0.023726661,0.009590612,0.003100747,0.011349012
2006/10/1,0.008085669,0.021790953,0.023062815,0.019439138,0.016810826,0.00242113,0.016041152,-0.002354229,0.02741873,0.0054778,0.011591661,0.011537271
2006/11/1,0.008750958,0.018754907,0.022074691,0.014602585,0.012647804,0.003867686,0.017987819,-0.003439536,0.021720426,0.014755401,0.012419058,0.018864324
2006/12/1,0.011212645,0.017370245,0.020041055,0.011868626,0.010718001,0.006538111,0.011652131,-0.002906271,0.03162869,0.010563994,0.005548881,0.010904909
2007/1/1,0.014880899,0.014641416,0.019541507,0.006447772,0.008318112,0.018635019,0.017074707,-0.001592897,0.039855778,0.008437299,0.010162804,0.0049427
2007/2/1,0.015017827,0.011660848,0.01461063,0.005930733,0.010093311,0.030939134,0.038099045,-0.001298389,0.052213845,0.012043605,0.020645933,0.011146553
2007/3/1,0.014436806,0.010485487,0.011007163,0.007860592,0.009472553,0.031755966,0.025272176,-0.000934348,0.026875985,0.006287029,0.029068026,0.009037203
2007/4/1,0.014354417,0.00866994,0.010318662,0.007843212,0.008771283,0.011488228,0.031930552,-7.73E-05,0.046210337,0.024885713,0.0022014,0.01379804
2007/5/1,0.014976245,0.006081263,0.009074911,0.007637063,0.01134612,0.021428499,0.007745667,0.001825989,0.047291105,0.016113478,0.021971584,0.019775643
2007/6/1,0.015068548,0.004602552,0.003851475,0.009782355,0.011228417,0.024940946,0.012443457,0.002528041,0.040323228,0.022856433,0.008539608,0.021962858
2007/7/1,0.013672823,0.009230365,0.006055087,0.014613416,0.01081202,0.042863489,0.019982699,0.001776443,0.038998451,0.016959538,0.00747916,0.010407555
2007/8/1,0.016966314,0.011750457,0.014106638,0.012805749,0.011926255,0.032097992,0.023221066,0.003413308,0.015657656,0.016925566,0.032302898,0.015853549
2007/9/1,0.018379959,0.010941068,0.012029639,0.011816917,0.012870795,0.026257152,0.034859731,0.005033228,0.02298406,0.017812918,0.005524261,0.021471961
2007/10/1,0.018881501,0.010067902,0.009483956,0.011778765,0.013109422,0.019590843,0.041529602,0.005545855,0.013888991,0.015383475,0.028134623,0.017704129
2007/11/1,0.019378512,0.009125449,0.008493489,0.011771276,0.01367627,0.024082106,0.022456461,0.005894094,0.004229629,0.022892565,0.017769459,0.025578543
2007/12/1,0.015339665,0.005902464,0.00408514,0.011481539,0.010621211,0.034220556,0.021145063,0.003955427,-0.001770749,0.016591079,0.014238717,0.017380519
2008/1/1,0.017205445,0.005093837,0.004638717,0.0107926,0.011353569,0.016187455,0.030113226,0.004835335,0.000405756,0.014815408,0.01533641,0.020495683
2008/2/1,0.010615891,0.005136813,-0.000823423,0.016360938,0.010652786,0.043677539,0.034381415,0.003158306,0.007928168,-0.003441581,0.023391091,0.005937365
2008/3/1,0.00940607,0.004931619,0.002810902,0.018083624,0.010447671,0.032279238,0.037928163,0.003108405,-0.003854981,0.030299794,0.035159536,0.019863429
2008/4/1,-0.001711919,0.006885784,-0.000386699,0.02507914,0.010235493,0.037106673,0.059056161,0.001119306,0.003019501,0.020226999,0.003756967,0.019305504
2008/5/1,-0.000565697,0.006936458,0.006763346,0.026734388,0.013102475,0.062194697,0.000192154,0.001529521,0.003231248,0.015645906,0.015316481,0.014987771
2008/6/1,-0.003828224,0.010307615,0.007427057,0.030419023,0.013564761,0.020406619,0.013816182,0.000875605,0.005679885,0.017208957,0.013294246,0.01380383
2008/7/1,0.000309478,0.025208878,0.019598869,0.034560715,0.016628139,0.040476193,0.003162575,-0.000877344,0.001719021,0.014188606,0.013930676,0.012334607
2008/8/1,0.002654173,0.027121232,0.028473437,0.03479244,0.017394401,0.022050114,0.006943175,-0.000715142,0.011488078,0.013271868,0.016349827,0.016593365
2008/9/1,-0.000929172,0.028311582,0.025891387,0.032569323,0.019728914,0.028793627,0.01129718,-0.001875855,0.001444365,0.012819891,0.008848447,0.015940415
2008/10/1,-0.003809771,0.027768708,0.02847906,0.030455589,0.020086315,0.033526989,0.007155167,-0.002208461,0.005005147,0.011062553,0.018352589,0.013871427
2008/11/1,-0.004571306,0.028927025,0.026853376,0.018803458,0.022820901,0.018222841,0.007231746,-0.0036233,0.011832447,0.011877415,0.005439048,0.015116146
2008/12/1,-0.000684772,0.030762197,0.035873923,0.023325427,0.022746702,0.021754748,0.002075912,-0.003090961,0.035293876,0.010995878,0.012305198,0.011289932
2009/1/1,-0.002010857,0.029175792,0.032241507,0.020964933,0.021448014,0.012981068,-0.007690366,-0.003268145,0.050099657,0.005901808,-0.00315142,0.001148049
2009/2/1,-0.000712082,0.029478685,0.033879573,0.024231067,0.021832326,0.009939374,0.004748697,-0.002675888,0.016823159,0.000133023,0.026058802,0.001057818
2009/3/1,3.13E-05,0.029012648,0.032467698,0.024907053,0.020935714,0.016554313,0.025229749,-0.002347369,0.069461273,0.018807727,0.008376719,0.00938109
2009/4/1,0.001717787,0.028772633,0.033879521,0.028028564,0.019108948,0.014149565,0.009431014,-0.001343505,0.048448371,0.016012915,-0.001885138,0.004762342
2009/5/1,0.005741193,0.027804718,0.030496854,0.026379222,0.018941058,0.012202372,0.003975324,-0.001020537,0.053277353,0.012296303,0.02496954,0.011722708
2009/6/1,0.009460838,0.026272914,0.029130889,0.024414304,0.017631748,0.00977724,0.006301809,-0.00059966,0.032563882,0.015188372,0.009916955,0.012759304
2009/7/1,0.016210275,0.025613313,0.029428287,0.022019414,0.015736074,0.010605343,0.00529727,0.000317425,0.036291124,0.014244162,0.004165472,0.009692916
2009/8/1,0.019591625,0.024232049,0.028981686,0.020037975,0.013956014,0.01465288,0.002857426,0.001474387,0.049307183,0.013920951,0.023898144,0.014644553
2009/9/1,0.018754503,0.026918305,0.022361136,0.021689556,0.017951958,0.021788412,0.010349084,-9.59E-05,0.037393981,0.013541591,0.011801106,0.012847163
2009/10/1,0.019881218,0.02592165,0.028014137,0.020519773,0.016818297,0.013276866,0.020051734,0.000193183,0.028711585,0.008554769,0.015425801,0.013212465
2009/11/1,0.021075773,0.025035577,0.02777062,0.019542926,0.015489433,0.012267904,0.018582893,0.000782615,0.010664044,0.016678831,0.010430831,0.013438932
2009/12/1,0.018469507,0.021784483,0.024190942,0.018340484,0.013887789,0.014013286,0.009323421,0.00131644,0.037163926,0.013566376,0.014688608,0.014006652
2010/1/1,0.018475665,0.020925093,0.021905401,0.017662283,0.013191317,0.012039433,0.017105985,0.001445645,0.021931782,0.010867261,0.011605745,0.013906638
2010/2/1,0.016511371,0.021845217,0.020246555,0.018968052,0.015814225,0.011237964,0.029870915,0.000804908,0.019377144,0.009010202,0.014246857,0.012826925
2010/3/1,0.015348202,0.020905441,0.022181708,0.018786972,0.014826347,0.009707718,0.02217688,0.000946304,-0.0014168,0.0103017,0.02216596,0.013390098
2010/4/1,0.014441188,0.02035695,0.021244439,0.018783971,0.014146428,0.010311683,0.033613256,0.001060296,0.013960954,0.021750232,0.006956248,0.013171715
2010/5/1,0.010749397,0.021565131,0.020098383,0.021055646,0.017177056,0.010748336,-0.002560208,0.000495658,0.020199047,0.012822112,0.013540726,0.013321355
2010/6/1,0.008371008,0.023325758,0.022054525,0.022780886,0.018756174,0.014313192,0.013340276,-0.000122362,0.009629164,0.015021712,0.013824073,0.012650625
2010/7/1,0.005604055,0.02430723,0.023764259,0.023713846,0.020031298,0.010454679,0.007197537,-0.00061222,0.003951353,0.012245785,0.010912337,0.011811751
2010/8/1,0.010649155,0.025668225,0.030060293,0.023827724,0.018937228,0.010095061,-0.001401672,7.64E-05,0.012688173,0.012179499,0.015121675,0.013092463
2010/9/1,0.008873267,0.02477841,0.026546714,0.023918934,0.017997092,0.010280102,0.017234842,0.000198719,0.021705784,0.012689112,0.010204929,0.012269091
2010/10/1,0.008541982,0.024664241,0.026254029,0.023853892,0.01716593,0.008725313,0.020845231,0.000204082,0.013925737,0.010074227,0.015232508,0.012564718
2010/11/1,0.007589722,0.0227724,0.026272226,0.023691183,0.015411954,0.01070391,0.021545816,0.000990656,0.022289505,0.014158849,0.00627321,0.013598844
2010/12/1,0.006136553,0.022749584,0.022709236,0.023769139,0.01571187,0.013960351,0.022946097,0.000677864,0.033019317,0.012639552,0.015448622,0.012771121
2011/1/1,0.005020373,0.02241438,0.02309132,0.023705767,0.015454934,0.01020257,0.030054007,0.00059966,0.010193159,0.00998531,0.01205585,0.012418135
2011/2/1,0.003100313,0.022375672,0.022547051,0.023935454,0.018739341,0.01060438,0.018566779,0.000396757,0.002320116,-0.005699832,0.020554342,0.01260024
2011/3/1,0.002096815,0.021469687,0.023303632,0.024089847,0.017373361,0.009455597,0.027805584,0.000722814,0.002197475,0.02173435,0.011096365,0.013231373
2011/4/1,0.000499513,0.021363356,0.02169389,0.024358347,0.017387699,0.008865409,0.031741176,0.000685032,0.01998631,0.015135641,0.005729163,0.011894007
2011/5/1,-0.0006135,0.021295168,0.021777934,0.024224599,0.019340725,0.008550711,0.005734736,0.000549031,0.010778802,0.012341573,0.017205548,0.013312549
2011/6/1,-0.002671551,0.021850774,0.021179705,0.024009541,0.020394239,0.0086879,0.011460088,0.000127271,0.004415211,0.013209446,0.010644027,0.012115285
2011/7/1,5.84E-05,0.02322679,0.024584739,0.02415244,0.019781391,0.008769905,0.010293994,0.000282114,0.001907716,0.012640567,0.010198933,0.01188222
2011/8/1,0.003110133,0.025052349,0.026045657,0.023856482,0.021366585,0.00846801,0.013881442,0.000190322,0.008347745,0.011787341,0.018170198,0.012631698
2011/9/1,0.001935735,0.02499092,0.025475714,0.023156252,0.021653577,0.009591537,0.016721979,-0.000116761,0.006221295,0.011574337,0.007340551,0.011549179
2011/10/1,-0.00014494,0.024988483,0.024722146,0.021750019,0.022799734,0.008607377,0.013455442,-0.000670251,-0.002925461,0.010365825,0.017024644,0.010882648
2011/11/1,-0.000608808,0.02445875,0.026827117,0.021980998,0.022445651,0.008686474,0.016384961,-0.000450998,-0.003661209,0.012118342,0.000546987,0.011857927
2011/12/1,-0.002005865,0.024290938,0.024864035,0.02076055,0.022613748,0.008309979,0.009395768,-0.000771924,0.006368103,0.01071282,0.014367901,0.010938558
2012/1/1,-0.003848128,0.023866171,0.024401385,0.018711792,0.022508043,0.007536081,0.00406103,-0.001231449,-0.002055859,0.008150386,0.007988608,0.010095359
2012/2/1,-0.003618704,0.023454487,0.025728455,0.018777629,0.023080916,0.009984321,0.01284032,-0.001081234,-0.004983732,0.004552804,0.029240477,0.010507487
2012/3/1,-0.002869523,0.022955104,0.02587982,0.019646874,0.022071921,0.006845211,0.033777201,-0.000690141,0.011389415,0.014533236,-0.004030059,0.010796914
2012/4/1,-0.003798636,0.022648268,0.023140575,0.017891203,0.021926248,0.007597127,0.00578933,-0.001083899,0.015441605,0.010945912,0.003947134,0.009957061
