,ECON,TECH,ALL
2008-08-01,0.007551202372686575,-0.0029548205758347344,0.011500831104379284
2008-09-01,-0.003564770962640085,-0.00932960267434954,0.0013858975122085296
2008-10-01,-0.002687648880125163,0.00638166700360847,0.016473905281982323
2008-11-01,-0.00714758644917898,-0.001971264082111661,0.011624938549827674
2008-12-01,0.014183512019959276,0.00010907603223895158,0.0350086502801102
2009-01-01,0.02256871716093733,-0.003974381889906425,0.04986060415077314
2009-02-01,-0.0045514591504917,-0.011702615075896936,0.016901466653688822
2009-03-01,0.041214122273019516,0.0005374488592448171,0.06935600138499001
2009-04-01,0.026723163893450565,0.028951712399439097,0.04857143546072057
2009-05-01,0.03272373811357208,0.0336739069448746,0.053435430356977315
2009-06-01,0.016896874547403316,0.03433291021132251,0.03280551311556826
2009-07-01,0.02459390992459389,0.03639673000629001,0.036507202966826524
