,expanding,Avew
2011-02-01,0.00490499725148986,-0.0057474360333616276
2011-03-01,0.004790427092657805,-0.0044969503919414415
2011-04-01,0.018455455029729284,0.010966510420004748
2011-05-01,0.010415717070587808,0.0007827405895627606
2011-06-01,0.0051960121713523115,-0.002958352687594024
2011-07-01,0.003651229823590269,-0.001440257408880981
2011-08-01,0.006411998856653223,0.00031478253008522777
2011-09-01,0.0041459890117095,-0.008973693806151591
2011-10-01,-0.004203171037335484,-0.02646655906474283
2011-11-01,-0.004123546950597854,-0.022163572437842276
2011-12-01,0.004099814309794921,-0.014748336689998457
2012-01-01,-0.002672079886945131,-0.028383515122998644
2012-02-01,-0.0062913255653050115,-0.028276327142044012
2012-03-01,0.007833407039644271,-0.008915717158470626
2012-04-01,0.010011402550364246,-0.006362855723286686
