,ridge,lasso,elastic net,lars,OMP
2004-06-01,0.010159093249310344,-0.004318922461762665,-0.0015920723779442665,0.0014135938675853932,0.014904233528579395
2004-07-01,0.011337792667037858,-0.0004536939495011352,0.0005900545230868132,-0.0024818583017135777,0.0028696514675505503
2004-08-01,0.011755335551849698,0.002140036305272318,0.0020982034198364467,-0.003601040089172388,0.001552452665563861
2004-09-01,0.007640770754090516,-0.0043472034739178,-0.004275518852424008,-0.003199255960326862,-0.0019631277741992818
2004-10-01,0.0289926456355828,0.011703426664688321,0.011795697158140332,0.0016384600536575999,0.025682826956630267
2004-11-01,0.01568119889608141,-0.0006501334177527008,-0.0007282859262183726,-0.001894081663020048,0.014986578303465716
2004-12-01,0.006105711741549706,-0.0006619136582163008,-0.0007122820289387226,-0.0025026657425156243,-0.006340024263810526
2005-01-01,-0.0026010530643339066,-0.0037876111793300193,-0.0038275705671280877,-0.003442235057168856,-0.004675553938774122
2005-02-01,-0.01084142817022704,-0.010113492676501627,-0.010279015661308333,-0.004506108986898033,0.004114379999451356
2005-03-01,0.0082892875869727,-0.0037468444103594825,-0.0037791506385930554,0.0004675912283325748,0.024088480294962182
2005-04-01,0.001282226267051889,-0.005087352803739312,-0.005057711713771508,-0.005097908780719953,0.012215506701193002
2005-05-01,-0.003627130732542308,-0.005953531288575219,-0.005962844141950206,-0.005277289888966027,-0.0010721047690787472
2005-06-01,-0.02100265918866842,-0.017467707430709793,-0.017391859924384453,-0.007181206228999856,-0.009289800625537695
2005-07-01,-0.014690123208479766,-0.008127814137432483,-0.00804708062473363,-0.006975087281888963,-0.011422962392200342
2005-08-01,-0.020376001790100358,-0.012123123087140109,-0.012075059876021341,-0.006861054223383445,-0.00931393294975592
2005-09-01,0.027509315012126757,0.01003111103308491,0.01132221292943319,-0.0037666220612990547,-0.00661658062203684
2005-10-01,0.007729394882769433,-0.0008226050597072293,-0.0008029790645707191,-0.00026831372519033145,0.0015787511937158522
2005-11-01,-0.012382176570977146,-0.010577250423567526,-0.010597596006028514,-0.004876540916451693,0.0007083023234918523
2005-12-01,-0.013681989956809503,-0.011463869420523909,-0.011363863092051476,-0.006019891682193512,-0.015616673722736424
2006-01-01,-0.006191225444818446,-0.0066240498016115245,-0.006611286334974817,-0.004972770381146136,-0.0072588763377618645
2006-02-01,0.008690546556188863,0.0021018401592103443,0.0020933792672024566,-0.0005313812638313937,0.01347711705949332
2006-03-01,0.019073741926154002,0.01634798737555449,0.007534580255537831,0.03320106316044161,0.02620115973276214
2006-04-01,-0.00038432882292796234,0.003944134590297575,0.0036552662440922272,-0.003626070351761571,-0.0134530993241745
2006-05-01,0.03357480819622033,0.03466041254321571,0.03501252475462962,0.00033083456089488437,0.011663912564685389
2006-06-01,0.09438519667814174,0.0812081829282157,0.08251700009702631,0.015020716536122294,0.07930496349821348
2006-07-01,0.05665652929731045,0.05171614890851722,0.051862598762298616,0.008967595344860175,0.05864633987000036
2006-08-01,0.02578090488959344,0.02954558960745864,0.029573161413686565,0.003461663086257861,0.03085730760325627
2006-09-01,0.013383805509088053,0.014861829540885335,0.014919851853801805,0.0059606709096899566,0.011751429834365442
2006-10-01,0.020432788666991063,0.020277161262422058,0.020275925811756267,0.01634112077389511,0.022872624802447047
2006-11-01,0.02556412806417952,0.015980956202005705,0.016624319111386877,0.006481622812744647,0.020735552834873237
2006-12-01,0.062156206577404546,0.0352948078741578,0.035343094489352876,0.011992795646430212,0.025659241025393225
2007-01-01,0.09050239871443036,0.06512888063911103,0.0649441290933962,0.020311727990963563,0.05231703678425309
2007-02-01,0.09036298136002527,0.07509171160501495,0.07486425817741481,0.019833319462167747,0.04893238322298552
2007-03-01,0.035754017364018134,0.04067665480617222,0.040606909371163936,0.01701686566185407,0.019408344674349896
