Markettype,Trddt,Cdretwdos,Cdretwdtl
21,1996/3/12,-0.006691,-0.007483
31,1996/3/12,-0.005396,-0.007074
37,1996/3/12,-0.006691,-0.007483
47,1996/3/12,-0.005396,-0.007074
53,1996/3/12,-0.006691,-0.007483
63,1996/3/12,-0.005396,-0.007074
10,1996/3/13,-0.006198,-0.00572
5,1996/3/13,-0.00027,-0.000463
15,1996/3/13,-0.001111,-0.000686
21,1996/3/13,-0.00027,-0.000463
31,1996/3/13,-0.001111,-0.000686
37,1996/3/13,-0.00027,-0.000463
47,1996/3/13,-0.001111,-0.000686
53,1996/3/13,-0.00027,-0.000463
63,1996/3/13,-0.001111,-0.000686
10,1996/3/14,0.002689,0.002574
5,1996/3/14,0.000142,-0.000467
15,1996/3/14,0.000455,-0.000363
21,1996/3/14,0.000142,-0.000467
31,1996/3/14,0.000455,-0.000363
37,1996/3/14,0.000142,-0.000467
47,1996/3/14,0.000455,-0.000363
53,1996/3/14,0.000142,-0.000467
63,1996/3/14,0.000455,-0.000363
10,1996/3/15,0.012284,0.011073
5,1996/3/15,0.001417,0.000511
15,1996/3/15,0.00291,0.000957
21,1996/3/15,0.001417,0.000511
31,1996/3/15,0.00291,0.000957
37,1996/3/15,0.001417,0.000511
47,1996/3/15,0.00291,0.000957
53,1996/3/15,0.001417,0.000511
63,1996/3/15,0.00291,0.000957
10,1996/3/18,0.007724,0.00645
5,1996/3/18,0.008771,0.008581
15,1996/3/18,0.00863,0.008493
21,1996/3/18,0.008771,0.008581
31,1996/3/18,0.00863,0.008493
37,1996/3/18,0.008771,0.008581
47,1996/3/18,0.00863,0.008493
53,1996/3/18,0.008771,0.008581
63,1996/3/18,0.00863,0.008493
10,1996/3/19,0.002472,0.001911
5,1996/3/19,-0.002317,-0.002203
15,1996/3/19,-0.00168,-0.002035
21,1996/3/19,-0.002317,-0.002203
31,1996/3/19,-0.00168,-0.002035
37,1996/3/19,-0.002317,-0.002203
47,1996/3/19,-0.00168,-0.002035
53,1996/3/19,-0.002317,-0.002203
63,1996/3/19,-0.00168,-0.002035
10,1996/3/20,-0.01134,-0.011075
5,1996/3/20,0.005139,0.005389
15,1996/3/20,0.002924,0.004763
21,1996/3/20,0.005139,0.005389
31,1996/3/20,0.002924,0.004763
37,1996/3/20,0.005139,0.005389
47,1996/3/20,0.002924,0.004763
53,1996/3/20,0.005139,0.005389
63,1996/3/20,0.002924,0.004763
10,1996/3/21,0.001411,0.000006
5,1996/3/21,0.000903,0.001022
15,1996/3/21,0.000973,0.00098
21,1996/3/21,0.000903,0.001022
31,1996/3/21,0.000973,0.00098
37,1996/3/21,0.000903,0.001022
47,1996/3/21,0.000973,0.00098
53,1996/3/21,0.000903,0.001022
63,1996/3/21,0.000973,0.00098
10,1996/3/22,-0.007991,-0.007043
5,1996/3/22,0.004457,0.002826
15,1996/3/22,0.002861,0.002443
21,1996/3/22,0.004457,0.002826
31,1996/3/22,0.002861,0.002443
37,1996/3/22,0.004457,0.002826
47,1996/3/22,0.002861,0.002443
53,1996/3/22,0.004457,0.002826
63,1996/3/22,0.002861,0.002443
10,1996/3/25,-0.001736,-0.001649
5,1996/3/25,0.00227,0.001684
15,1996/3/25,0.001737,0.001559
21,1996/3/25,0.00227,0.001684
31,1996/3/25,0.001737,0.001559
37,1996/3/25,0.00227,0.001684
47,1996/3/25,0.001737,0.001559
53,1996/3/25,0.00227,0.001684
63,1996/3/25,0.001737,0.001559
10,1996/3/26,-0.004548,-0.004629
5,1996/3/26,-0.011722,-0.011283
15,1996/3/26,-0.010828,-0.011051
21,1996/3/26,-0.011722,-0.011283
31,1996/3/26,-0.010828,-0.011051
37,1996/3/26,-0.011722,-0.011283
47,1996/3/26,-0.010828,-0.011051
53,1996/3/26,-0.011722,-0.011283
63,1996/3/26,-0.010828,-0.011051
10,1996/3/27,-0.003648,-0.003647
5,1996/3/27,-0.003418,-0.003115
15,1996/3/27,-0.003447,-0.003134
21,1996/3/27,-0.003418,-0.003115
31,1996/3/27,-0.003447,-0.003134
37,1996/3/27,-0.003418,-0.003115
47,1996/3/27,-0.003447,-0.003134
53,1996/3/27,-0.003418,-0.003115
63,1996/3/27,-0.003447,-0.003134
10,1996/3/28,-0.002704,-0.003124
5,1996/3/28,-0.012806,-0.013457
15,1996/3/28,-0.011462,-0.013072
21,1996/3/28,-0.012806,-0.013457
31,1996/3/28,-0.011462,-0.013072
37,1996/3/28,-0.012806,-0.013457
47,1996/3/28,-0.011462,-0.013072
53,1996/3/28,-0.012806,-0.013457
63,1996/3/28,-0.011462,-0.013072
10,1996/3/29,0.004563,0.004309
5,1996/3/29,0.002584,0.003363
15,1996/3/29,0.002829,0.003396
21,1996/3/29,0.002584,0.003363
31,1996/3/29,0.002829,0.003396
37,1996/3/29,0.002584,0.003363
47,1996/3/29,0.002829,0.003396
53,1996/3/29,0.002584,0.003363
63,1996/3/29,0.002829,0.003396
10,1996/4/1,0.002744,0.003049
5,1996/4/1,0.012303,0.014935
15,1996/4/1,0.011053,0.014494
21,1996/4/1,0.012303,0.014935
31,1996/4/1,0.011053,0.014494
37,1996/4/1,0.012303,0.014935
47,1996/4/1,0.011053,0.014494
53,1996/4/1,0.012303,0.014935
63,1996/4/1,0.011053,0.014494
10,1996/4/2,-0.014186,-0.013262
5,1996/4/2,-0.013561,-0.014701
15,1996/4/2,-0.013645,-0.014646
21,1996/4/2,-0.013561,-0.014701
31,1996/4/2,-0.013645,-0.014646
37,1996/4/2,-0.013561,-0.014701
47,1996/4/2,-0.013645,-0.014646
53,1996/4/2,-0.013561,-0.014701
63,1996/4/2,-0.013645,-0.014646
10,1996/4/3,0.004136,0.003339
5,1996/4/3,0.0059,0.005985
15,1996/4/3,0.005692,0.005898
21,1996/4/3,0.0059,0.005985
31,1996/4/3,0.005692,0.005898
37,1996/4/3,0.0059,0.005985
47,1996/4/3,0.005692,0.005898
53,1996/4/3,0.0059,0.005985
63,1996/4/3,0.005692,0.005898
10,1996/4/4,0.001952,0.001727
5,1996/4/4,0.005529,0.005191
15,1996/4/4,0.005296,0.005132
21,1996/4/4,0.005529,0.005191
31,1996/4/4,0.005296,0.005132
37,1996/4/4,0.005529,0.005191
47,1996/4/4,0.005296,0.005132
53,1996/4/4,0.005529,0.005191
63,1996/4/4,0.005296,0.005132
10,1996/4/5,0.001374,0.001374
5,1996/4/5,0.031344,0.032903
15,1996/4/5,0.029563,0.032429
21,1996/4/5,0.031344,0.032903
31,1996/4/5,0.029563,0.032429
37,1996/4/5,0.031344,0.032903
47,1996/4/5,0.029563,0.032429
53,1996/4/5,0.031344,0.032903
63,1996/4/5,0.029563,0.032429
10,1996/4/8,-0.004899,-0.004899
5,1996/4/8,0.003009,0.001914
15,1996/4/8,0.002523,0.001808
21,1996/4/8,0.003009,0.001914
31,1996/4/8,0.002523,0.001808
37,1996/4/8,0.003009,0.001914
47,1996/4/8,0.002523,0.001808
53,1996/4/8,0.003009,0.001914
63,1996/4/8,0.002523,0.001808
10,1996/4/9,-0.00352,-0.002352
5,1996/4/9,-0.004917,-0.005608
15,1996/4/9,-0.004741,-0.005483
21,1996/4/9,-0.004917,-0.005608
31,1996/4/9,-0.004741,-0.005483
37,1996/4/9,-0.004917,-0.005608
47,1996/4/9,-0.004741,-0.005483
53,1996/4/9,-0.004917,-0.005608
63,1996/4/9,-0.004741,-0.005483
10,1996/4/10,0.006255,0.004394
5,1996/4/10,0.00522,0.003882
15,1996/4/10,0.005358,0.003903
21,1996/4/10,0.00522,0.003882
31,1996/4/10,0.005358,0.003903
37,1996/4/10,0.00522,0.003882
47,1996/4/10,0.005358,0.003903
53,1996/4/10,0.00522,0.003882
63,1996/4/10,0.005358,0.003903
10,1996/4/11,-0.002163,-0.001374
5,1996/4/11,0.008081,0.008003
15,1996/4/11,0.006751,0.007663
21,1996/4/11,0.008081,0.008003
31,1996/4/11,0.006751,0.007663
37,1996/4/11,0.008081,0.008003
47,1996/4/11,0.006751,0.007663
53,1996/4/11,0.008081,0.008003
63,1996/4/11,0.006751,0.007663
