IPO_date,IPO_number
1999/2/3,45000000.00 
1999/5/7,60000000.00 
1999/6/30,80000000.00 
1999/5/27,56000000.00 
1999/6/3,150000000.00 
1999/5/14,65000000.00 
1999/6/9,30000000.00 
1999/3/25,50000000.00 
1999/7/20,60000000.00 
1999/11/18,80000000.00 
1999/6/16,70000000.00 
1999/7/13,110000000.00 
1999/6/18,55000000.00 
1999/7/14,55000000.00 
1999/6/11,30000000.00 
1999/6/18,55000000.00 
1999/7/27,218000000.00 
1999/3/12,90000000.00 
1999/6/23,45000000.00 
1999/7/12,60000000.00 
1999/7/12,187423470.00 
1999/8/3,200000000.00 
1999/8/31,70000000.00 
1999/8/24,58000000.00 
1999/8/10,35000000.00 
1999/9/9,100000000.00 
1999/11/4,40000000.00 
1999/9/23,45000000.00 
1999/10/14,40000000.00 
1999/10/21,75000000.00 
1999/9/16,55000000.00 
1999/11/25,90000000.00 
1999/11/12,50000000.00 
1999/12/2,50000000.00 
1999/12/9,55000000.00 
2000/1/13,45000000.00 
1999/12/23,45000000.00 
1999/12/16,350000000.00 
2000/2/21,130000000.00 
2000/3/1,100000000.00 
2000/1/20,65000000.00 
2000/1/27,50000000.00 
2000/4/6,70000000.00 
2000/3/16,90000000.00 
2000/3/30,45000000.00 
2000/6/22,150000000.00 
2000/5/29,60000000.00 
2000/4/20,35000000.00 
2000/4/27,55000000.00 
2000/9/26,45000000.00 
2000/5/25,95000000.00 
2000/6/8,80000000.00 
2000/6/1,70000000.00 
2000/6/8,65000000.00 
2000/5/18,40000000.00 
2000/6/16,58000000.00 
2000/6/22,50000000.00 
2000/7/6,30000000.00 
2000/7/26,288000000.00 
2000/7/26,30000000.00 
2000/7/18,60000000.00 
2000/6/8,30000000.00 
2000/6/28,40000000.00 
2000/7/6,48000000.00 
2000/7/31,100000000.00 
2000/8/7,40000000.00 
2000/7/18,35000000.00 
2000/8/7,31000000.00 
2000/12/11,55000000.00 
2000/3/9,200000000.00 
1997/3/6,24800000.00 
1993/5/5,46000000.00 
1998/1/22,80000000.00 
1994/9/28,20280000.00 
2017/12/25,554832864.00 
2015/12/30,1901797599.00 
2004/6/25,30000000.00 
2004/6/25,30000000.00 
2004/6/25,21000000.00 
2004/6/25,22000000.00 
